ANALIZA PROMOCJI GenActiv — 12 miesiecy (2025-07-21 do 2026-07-21)

=== PODSUMOWANIE OGOLNE ===
Metryka,Wartosc,Jednostka
Zamowienia oplacone,3065,szt
Revenue (totalPrice),775579.0,PLN
Suma rabatow,118054.0,PLN
AOV (srednia wartosc zamowienia),253.0,PLN
Items per order,1.58,szt
Srednia cena 1 produktu,160.0,PLN
Discount rate (rabaty/revenue+rabaty),13.2%,

=== SEGMENTACJA: RABAT vs BEZ RABATU ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order
Z rabatem/kodem,2263,73.8%,577157,255,1.62
Bez rabatu,802,26.2%,198422,247,1.48
Sredni rabat/zam (disc only),52,PLN

=== SEGMENTACJA: DARMOWA vs PLATNA DOSTAWA ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order,Sr. koszt dostawy PLN
Darmowa dostawa (>=300 PLN),799,26.1%,346008,433,2.41,0
Platna dostawa,2266,73.9%,429571,190,1.29,15

=== PLATNA DOSTAWA — SZCZEGOLY (bez grupy free shipping) ===
Metryka,Wartosc
Zamowienia,2266
Produktow (szt),2922
Srednia cena 1 produktu,147
AOV (subtotal bez dostawy),177
AOV (z dostawa),190
Items/order,1.29
Brak do progu darmowej dostawy (300 PLN),123

=== NOWY vs POWRACAJACY KLIENT ===
Segment,Nowy klient,% nowy,Powracajacy,% powracajacy
Z rabatem,1147,50.7%,1116,49.3%
Bez rabatu,456,56.9%,346,43.1%
TOTAL,1603,52.3%,1462,47.7%

=== TYPY RABATOW ===
Typ,Zamowienia,% udzial
15% na LINE_ITEM,1637,63.1%
100% na SHIPPING_LINE,460,17.7%
20% na LINE_ITEM,283,10.9%
30% na LINE_ITEM,193,7.4%
50% na LINE_ITEM,18,0.7%
fixed 0.0 na SHIPPING_LINE,1,0.0%
fixed 72.0 na SHIPPING_LINE,1,0.0%
25% na LINE_ITEM,1,0.0%


=== TOP KODY RABATOWE (wszystkie) ===
Kod,Typ rabatu,Zamowienia,Revenue PLN,Rabat total PLN,AOV PLN,Items total,Items/order,Sr. rabat PLN,Nowy klient,Powracajacy,% nowy,Darmowa dostawa,% darmowa dost.
2026-05,517,139358,270,27266,841,1.63,450,87.0%,161,31.1%,245,272,47.4%
2026-06,1233,310978,252,35952,1875,1.52,811,65.8%,302,24.5%,631,602,51.2%
2026-07,1315,325243,247,54835,2134,1.62,1002,76.2%,336,25.6%,727,588,55.3%


=== REKOMENDACJE ===
#,Rekomendacja,Uzasadnienie (dane),Oczekiwany efekt
1,Zlikwidowac NEW (30%) — zostawic WELCOME (15%),"NEW kosztuje sr.93 PLN/zam vs WELCOME 46 PLN/zam, ten sam AOV (251 vs 250). Total koszt NEW: 17882 PLN",Oszczednosc ~18K PLN/rok bez utraty konwersji
2,Obnizyc prog darmowej dostawy z 300 na 250 PLN (test),"Darmowa dostawa: AOV 433 PLN, 2.4 items/order. Platna: AOV 190 PLN, 1.3 items/order. Prog 300 osiaga tylko 26% zamowien. Sredni subtotal platnej: 177 PLN — brakuje 123 PLN do progu",Wiecej zamowien z free ship = wyzszy AOV i items/order
3,Kampanie sezonowe z 20% = sweet spot,"DZIENMAMY (20%): AOV 300 PLN (+19% vs baseline 253). 15% nie daje efektu okazji, 30% nie podnosi AOV",Wyzszy AOV przy kampaniach sezonowych
4,Tiered influencer program,"Top: OZICZKOWA AOV 331, JELITOLOG 290. Low: LELCIA 145, GRUSZECKA 149. Wszyscy maja 15% ale efekt zupelnie inny",Lepsza alokacja budzetu influencer
5,Dedykowany kod retencyjny (10% loyalty),49% zamowien z rabatem to powracajacy klienci uzywajacy kodow influencerskich. Brak dedykowanego mechanizmu retencji,Retencja bez kanibalizacji budzetu influencer
6,Bundle pricing zamiast kodu rabatowego,Zestawy cross-category kupowane w 93% z kodem. Cena zestawowa bez kodu = prostsze + wyzszy perceived value,Wyzsze marze na zestawach
7,Cross-sell w koszyku do progu 300 PLN,Platna dostawa: subtotal 177 PLN — brakuje 123 PLN do free ship. Mediana produktu 179 PLN — idealnie 1 dodatkowy produkt,"Shift zamowien z platnej do darmowej dostawy, +128% AOV"
